date,BAB_ret
2006-08-31,0.02685740678582652
2006-11-30,0.03296581570529832
2007-02-28,0.00924181269594456
2007-04-30,0.03916193707350909
2007-08-31,0.01381743396903057
2007-11-30,-0.0471102870516881
2008-01-31,-0.07255481409167354
2008-02-29,-0.028088336570592436
2008-04-30,0.030060075153688692
2008-05-30,0.0071438471792427335
2008-06-30,-0.09466124134262766
2009-04-30,-0.05869956270829746
2009-08-31,-0.021248896667104486
2009-09-30,0.003986128334060646
2009-10-30,-0.006673575091935981
2009-11-30,0.029966110310624745
2010-04-30,0.0012180069297365037
2010-07-30,0.01820659108251111
2010-09-30,0.04375641160885438
2011-01-31,0.006784981472532777
2011-02-28,0.03189393716509079
2011-06-30,-0.004852195301963409
2011-09-30,-0.020996493392615112
2011-11-30,0.0018269217342657467
2011-12-30,0.017335719030444945
